"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CUBE","CubeSmart","27.9","$5.09B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cube",
"CUB","Cubic Corporation","64.2","$1.75B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cub",
"CFR","Cullen/Frost Bankers, Inc.","110.01","$7.01B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cfr",
"CFR^A","Cullen/Frost Bankers, Inc.","24.92","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cfr^a",
"CULP","Culp, Inc.","31","$385.95M","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/culp",
"CMI","Cummins Inc.","162.37","$26.9B","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cmi",
"CURO","CURO Group Holdings Corp.","17.41","$775.81M","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/curo",
"CW","Curtiss-Wright Corporation","139.88","$6.18B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cw",
"SRF","Cushing Energy Income Fund (The)","8.959","$22.17M","2012","n/a","n/a","https://www.nasdaq.com/symbol/srf",
"SRV","Cushing MLP & Infrastructure Total Return Fund","11.23","$75.63M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/srv",
"SZC","Cushing Renaissance Fund (The)","17.08","$99.98M","2012","n/a","n/a","https://www.nasdaq.com/symbol/szc",
"SZC~","Cushing Renaissance Fund (The)","0.47","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/szc~",
"CUBI","Customers Bancorp, Inc","31.19","$980.6M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cubi",
"CUBI^C","Customers Bancorp, Inc","26.35","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cubi^c",
"CUBI^D","Customers Bancorp, Inc","26.52","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cubi^d",
"CUBI^E","Customers Bancorp, Inc","26.57","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cubi^e",
